unit,unit_type,config,model,seed,macro_f1,n_cols
jit_R7,main,drop_rssi,xgboost::Light_T1,42,0.7243510506798516,86
jit_R7,main,drop_rssi,xgboost::Light_XM,42,0.7755644090305445,86
jit_R7,main,drop_rssi,xgboost::Sensor,42,0.8036951501154734,86
jit_R7,main,drop_rssi,xgboost::Socket,42,1.0,86
jit_R7,main,drop_rssi,lightgbm::Camera,42,0.870026525198939,86
jit_R7,main,drop_rssi,lightgbm::Light_T1,42,0.7326732673267327,86
jit_R7,main,drop_rssi,lightgbm::Light_XM,42,0.776,86
jit_R7,main,drop_rssi,lightgbm::Sensor,42,0.8004640371229699,86
jit_R7,main,drop_rssi,lightgbm::Socket,42,1.0,86
jit_R7,main,drop_rssi,stacking::Camera,42,0.8717948717948718,86
jit_R7,main,drop_rssi,stacking::Light_T1,42,0.7090216010165185,86
jit_R7,main,drop_rssi,stacking::Light_XM,42,0.7643142476697736,86
jit_R7,main,drop_rssi,stacking::Sensor,42,0.7897196261682243,86
jit_R7,main,drop_rssi,stacking::Socket,42,1.0,86
jit_R6_R7,main,drop_rssi,rf,42,0.7491538638013471,86
jit_R6_R7,main,drop_rssi,xgboost,42,0.7892804406261892,86
jit_R6_R7,main,drop_rssi,lightgbm,42,0.7910301232678153,86
jit_R6_R7,main,drop_rssi,stacking,42,0.7881741615951052,86
jit_R6_R7,main,drop_rssi,rf::Camera,42,0.7085889570552147,86
jit_R6_R7,main,drop_rssi,rf::Light_T1,42,0.6314593980692789,86
jit_R6_R7,main,drop_rssi,rf::Light_XM,42,0.6662251655629139,86
jit_R6_R7,main,drop_rssi,rf::Sensor,42,0.7394957983193278,86
jit_R6_R7,main,drop_rssi,rf::Socket,42,1.0,86
jit_R6_R7,main,drop_rssi,xgboost::Camera,42,0.779182156133829,86
jit_R6_R7,main,drop_rssi,xgboost::Light_T1,42,0.6705269253039954,86
jit_R6_R7,main,drop_rssi,xgboost::Light_XM,42,0.705026455026455,86
jit_R6_R7,main,drop_rssi,xgboost::Sensor,42,0.7916666666666666,86
jit_R6_R7,main,drop_rssi,xgboost::Socket,42,1.0,86
jit_R6_R7,main,drop_rssi,lightgbm::Camera,42,0.7812041116005873,86
