task,n_sources,n_classes,cluster_size,cluster,severity_src_oof_rf_H,target_H_best_base,target_H_stacking,gap_H,n_consensus_correct_H,n_override_H,override_rate_H,n_consensus_correct_E,n_override_E,override_rate_E
g0_R3_R7_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.385973,0.566285,0.384895,-0.18139,730,353,0.483562,363,0,0.0
g0_R3_R7_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.385973,0.751955,0.457073,-0.294882,964,474,0.491701,395,0,0.0
g0_R3_to_R2,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.94991,0.451678,0.434638,-0.01704,546,2,0.003663,363,0,0.0
g0_R3_to_R4,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.94991,0.365733,0.367958,0.002224,515,1,0.001942,367,0,0.0
g0_R3_to_R5,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.94991,0.499606,0.500249,0.000643,672,0,0.0,363,0,0.0
g0_R3_to_R6,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.94991,0.266418,0.190532,-0.075887,393,0,0.0,394,0,0.0
g0_R3_to_R7,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.94991,0.281344,0.211484,-0.06986,396,0,0.0,406,0,0.0
g0_R4_R5_R6_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.559236,0.769539,0.721269,-0.048269,703,63,0.089616,721,0,0.0
g0_R4_R5_R6_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.559236,0.628061,0.670746,0.042685,489,13,0.026585,736,0,0.0
g0_R4_R5_R6_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.559236,0.790906,0.668987,-0.121918,819,94,0.114774,790,0,0.0
g0_R4_R5_R7_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.587246,0.791579,0.703651,-0.087928,711,78,0.109705,710,0,0.0
g0_R4_R5_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.587246,0.61783,0.686178,0.068348,447,13,0.029083,734,0,0.0
g0_R4_R5_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.664168,0.754071,0.695796,-0.058275,1015,96,0.094581,395,0,0.0
g0_R4_R5_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.489469,0.719891,0.535668,-0.184223,605,184,0.304132,711,0,0.0
g0_R4_R5_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.489469,0.484256,0.479203,-0.005054,236,16,0.067797,733,0,0.0
g0_R4_R5_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.44276,0.5178,0.504776,-0.013024,740,38,0.051351,395,0,0.0
g0_R4_R5_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.489469,0.455525,0.458071,0.002546,499,16,0.032064,765,0,0.0
g0_R4_R6_R7_to_R2,3,5,2,Light_T1|Light_XM,0.680275,0.693116,0.647895,-0.045221,456,0,0.0,983,29,0.029502
g0_R4_R6_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.698818,0.480395,0.354839,-0.125556,303,2,0.006601,733,5,0.006821
g0_R4_R6_R7_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.732188,0.639928,0.630597,-0.009331,705,21,0.029787,363,0,0.0
g0_R4_R6_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.464865,0.72444,0.539697,-0.184743,738,106,0.143631,688,223,0.324128
g0_R4_R6_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.464865,0.385949,0.306682,-0.079267,250,40,0.16,732,33,0.045082
g0_R4_R6_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.524538,0.627337,0.392829,-0.234508,640,291,0.454688,363,0,0.0
g0_R4_R6_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.464865,0.771209,0.688136,-0.083073,809,131,0.161928,791,1,0.001264
g0_R4_R7_to_R2,2,5,3,Camera|Light_T1|Light_XM,0.525115,0.714829,0.334029,-0.380801,576,346,0.600694,660,1,0.001515
g0_R4_R7_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.507261,0.430588,0.646319,0.21573,293,59,0.201365,678,24,0.035398
g0_R4_R7_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.558528,0.586224,0.27593,-0.310294,601,452,0.75208,363,0,0.0
g0_R4_R7_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.558528,0.739927,0.500137,-0.23979,970,397,0.409278,395,0,0.0
g0_R4_to_R2,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.904813,0.699022,0.554919,-0.144103,697,0,0.0,283,0,0.0
g0_R4_to_R3,1,5,3,Light_T1|Light_XM|Sensor,0.881299,0.254397,0.18624,-0.068157,109,0,0.0,571,0,0.0
g0_R4_to_R5,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.904813,0.514828,0.49671,-0.018118,535,1,0.001869,363,0,0.0
g0_R4_to_R6,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.904813,0.410062,0.36547,-0.044591,498,0,0.0,395,0,0.0
g0_R4_to_R7,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.904813,0.541037,0.420937,-0.120099,707,0,0.0,406,0,0.0
g0_R5_R6_R7_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.669814,0.728349,0.738066,0.009717,736,0,0.0,720,0,0.0
g0_R5_R6_R7_to_R3,3,5,3,Light_T1|Light_XM|Sensor,0.669814,0.659753,0.645771,-0.013982,609,0,0.0,735,1,0.001361
g0_R5_R6_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.669814,0.72854,0.742548,0.014008,727,0,0.0,742,0,0.0
g0_R5_R6_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.415954,0.670865,0.499347,-0.171518,668,95,0.142216,712,0,0.0
g0_R5_R6_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.415954,0.613152,0.433954,-0.179198,554,149,0.268953,728,1,0.001374
g0_R5_R6_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.415954,0.705339,0.493859,-0.21148,680,136,0.2,740,0,0.0
g0_R5_R6_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.415954,0.78291,0.472298,-0.310612,818,261,0.319071,789,0,0.0
g0_R5_R7_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.45288,0.712762,0.487349,-0.225413,740,220,0.297297,666,6,0.009009
g0_R5_R7_to_R3,2,5,3,Light_T1|Light_XM|Sensor,0.45288,0.636183,0.412006,-0.224177,591,254,0.42978,700,10,0.014286
g0_R5_R7_to_R4,2,5,3,Light_T1|Light_XM|Sensor,0.45288,0.705203,0.433202,-0.272001,723,297,0.410788,738,5,0.006775
g0_R5_R7_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.45721,0.746872,0.510286,-0.236586,983,298,0.303154,395,0,0.0
g0_R5_to_R2,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.947013,0.550071,0.51458,-0.035491,743,0,0.0,363,0,0.0
g0_R5_to_R3,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.947013,0.276396,0.269729,-0.006667,355,0,0.0,362,0,0.0
g0_R5_to_R4,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.947013,0.330131,0.315837,-0.014294,560,1,0.001786,361,0,0.0
g0_R5_to_R6,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.947013,0.271605,0.273019,0.001414,593,0,0.0,392,0,0.0
g0_R5_to_R7,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.947013,0.274996,0.275833,0.000837,601,0,0.0,406,0,0.0
g0_R6_R7_to_R2,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.728805,0.727609,0.507755,-0.219854,643,52,0.080871,363,0,0.0
g0_R6_R7_to_R3,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.728805,0.677826,0.391485,-0.286341,585,39,0.066667,376,0,0.0
g0_R6_R7_to_R4,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.728805,0.704586,0.525816,-0.178771,734,40,0.054496,368,0,0.0
g0_R6_R7_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.728805,0.634501,0.492752,-0.141749,729,50,0.068587,363,0,0.0
g0_R6_to_R2,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.773867,0.643246,0.549874,-0.093371,704,0,0.0,363,0,0.0
g0_R6_to_R3,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.773867,0.639208,0.482187,-0.157021,609,0,0.0,363,0,0.0
g0_R6_to_R4,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.773867,0.630908,0.545857,-0.085052,793,0,0.0,363,0,0.0
g0_R6_to_R5,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.773867,0.560135,0.541881,-0.018254,772,0,0.0,363,0,0.0
g0_R6_to_R7,1,5,3,Light_T1|Light_XM|Sensor,0.705654,0.756382,0.759392,0.00301,794,0,0.0,795,0,0.0
g0_R7_to_R2,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.846861,0.657151,0.215733,-0.441417,375,0,0.0,363,0,0.0
g0_R7_to_R3,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.846861,0.582328,0.250102,-0.332226,404,0,0.0,344,0,0.0
g0_R7_to_R4,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.846861,0.602225,0.27246,-0.329766,452,0,0.0,358,0,0.0
g0_R7_to_R5,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.846861,0.595252,0.274307,-0.320944,429,0,0.0,360,0,0.0
g0_R7_to_R6,1,5,4,Camera|Light_T1|Light_XM|Sensor,0.846861,0.665465,0.657691,-0.007773,885,1,0.00113,394,0,0.0
g0_iid_R2_random,0,5,2,Light_T1|Light_XM,0.906214,0.898615,0.89646,-0.002156,183,0,0.0,327,0,0.0
g0_iid_R2_time_block,0,5,2,Light_T1|Light_XM,0.888224,0.920278,0.90203,-0.018248,189,0,0.0,326,0,0.0
g0_iid_R3_time_block,0,5,2,Light_XM|Sensor,0.915437,0.920507,0.922619,0.002112,192,0,0.0,329,0,0.0
g0_iid_R4_time_block,0,5,3,Light_T1|Light_XM|Sensor,0.900914,0.839153,0.823625,-0.015529,262,0,0.0,209,0,0.0
g0_iid_R5_time_block,0,5,2,Light_XM|Sensor,0.921256,0.925997,0.933141,0.007145,193,0,0.0,313,0,0.0
g0_iid_R6_random,0,5,3,Light_T1|Light_XM|Sensor,0.68565,0.79931,0.801293,0.001983,252,0,0.0,233,0,0.0
g0_iid_R6_time_block,0,5,3,Light_T1|Light_XM|Sensor,0.821534,0.474674,0.457965,-0.016709,129,0,0.0,234,0,0.0
g0_iid_R7_random,0,5,2,Light_T1|Light_XM,0.733424,0.852633,0.83307,-0.019564,180,0,0.0,337,0,0.0
g0_iid_R7_time_block,0,5,3,Light_T1|Light_XM|Sensor,0.79217,0.802813,0.797144,-0.005669,239,0,0.0,241,0,0.0
