class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Light_XM,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R7,0.9149397804851008,0.6027487994701108,0.2682926829268293,0.30964467005076146
Light_XM,loro_R3_R4_to_R2,joint_R2_R3_R4,0.7018217356344431,0.8448883666274971,0.20273972602739732,0.13897280966767367
Light_XM,loro_R3_R4_to_R2,position_R2_R3_R4_to_R5,0.3396652453521508,1.4135564135564136,0.20273972602739732,0.17355371900826444
Light_XM,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R6,0.5831716001031317,1.019830481368943,0.20273972602739732,0.42784810126582273
Light_XM,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R7,0.6429714625087318,0.9446167478954364,0.20273972602739732,0.30964467005076146
Light_XM,joint_R2_R3_R4,position_R2_R3_R4_to_R5,0.9077021409603199,0.5686680469289165,0.13897280966767367,0.17355371900826444
Light_XM,joint_R2_R3_R4,jitter_R2_R3_R4_to_R6,0.9879613942735926,0.1749421147414458,0.13897280966767367,0.42784810126582273
Light_XM,joint_R2_R3_R4,jitter_R2_R3_R4_to_R7,0.9964006798456921,0.11617961511047749,0.13897280966767367,0.30964467005076146
Light_XM,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R6,0.9613690841482736,0.39372593218747065,0.17355371900826444,0.42784810126582273
Light_XM,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R7,0.9361452817851477,0.4959666926880042,0.17355371900826444,0.30964467005076146
Light_XM,jitter_R2_R3_R4_to_R6,jitter_R2_R3_R4_to_R7,0.9966278913219312,0.10224076050053353,0.42784810126582273,0.30964467005076146
Sensor,single_round_R2,single_round_R3,0.0,1.0,0.0,0.08256880733944949
Sensor,single_round_R2,single_round_R4,0.0,1.0,0.0,0.12844036697247707
Sensor,single_round_R2,loro_R2_R3_to_R4,0.0,1.0,0.0,0.15193370165745856
Sensor,single_round_R2,loro_R2_R4_to_R3,0.0,1.0,0.0,0.8131868131868132
Sensor,single_round_R2,loro_R3_R4_to_R2,0.0,1.0000000000000002,0.0,0.2727272727272727
