task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R2_R3_R7_to_R5,42,A,random,5,5,3,,3,round_group,0.6601284844124933,rf,0.7084339581405116,-0.0483054737280183,0.7084339581405116,0.6526908580598761,0.6555792466724631,3,R5,ood
g0_R2_R3_R7_to_R5,42,A_prime,random,3,3,3,True,3,round_group,0.6539655228027849,rf,0.7084339581405116,-0.05446843533772672,0.7084339581405116,0.6526908580598761,0.6555792466724631,3,R5,ood
g0_R2_R3_R7_to_R5,42,B,grouped,5,3,3,,3,round_group,0.7347540511052275,rf,0.7084339581405116,0.026320092964715935,0.7084339581405116,0.6526908580598761,0.6555792466724631,3,R5,ood
g0_R2_R6_R7_to_R5,42,A,random,5,5,3,,3,round_group,0.5694183502965504,rf,0.6902865774067293,-0.12086822711017886,0.6902865774067293,0.5646735242196537,0.5619377089191915,3,R5,ood
g0_R2_R6_R7_to_R5,42,A_prime,random,3,3,3,True,3,round_group,0.5697261458002901,rf,0.6902865774067293,-0.12056043160643914,0.6902865774067293,0.5646735242196537,0.5619377089191915,3,R5,ood
g0_R2_R6_R7_to_R5,42,B,grouped,5,3,3,,3,round_group,0.6001791744620821,rf,0.6902865774067293,-0.09010740294464714,0.6902865774067293,0.5646735242196537,0.5619377089191915,3,R5,ood
g0_R3_R6_R7_to_R5,42,A,random,5,5,3,,3,round_group,0.6387136851885915,xgboost,0.6539269818539765,-0.015213296665384957,0.5887185593812042,0.6539269818539765,0.622790683500906,3,R5,ood
g0_R3_R6_R7_to_R5,42,A_prime,random,3,3,3,True,3,round_group,0.6376229773849196,xgboost,0.6539269818539765,-0.016304004469056887,0.5887185593812042,0.6539269818539765,0.622790683500906,3,R5,ood
g0_R3_R6_R7_to_R5,42,B,grouped,5,3,3,,3,round_group,0.5125387678572796,xgboost,0.6539269818539765,-0.14138821399669688,0.5887185593812042,0.6539269818539765,0.622790683500906,3,R5,ood
g0_R3_to_R6,42,A,random,5,5,5,,1,time_block,0.32507094943240455,xgboost,0.41288112952043665,-0.0878101800880321,0.2791540785498489,0.41288112952043665,0.3317003628823224,1,R6,ood
g0_R3_to_R6,42,A_prime,random,5,5,5,True,1,time_block,0.32507094943240455,xgboost,0.41288112952043665,-0.0878101800880321,0.2791540785498489,0.41288112952043665,0.3317003628823224,1,R6,ood
g0_R3_to_R6,42,B,grouped,5,5,5,,1,time_block,0.3524253646047638,xgboost,0.41288112952043665,-0.06045576491567284,0.2791540785498489,0.41288112952043665,0.3317003628823224,1,R6,ood
g0_R7_to_R6,42,A,random,5,5,5,,1,time_block,0.7318291907186054,xgboost,0.7321181158506991,-0.00028892513209366477,0.7283019210840016,0.7321181158506991,0.7282664824557845,1,R6,ood
g0_R7_to_R6,42,A_prime,random,5,5,5,True,1,time_block,0.7318291907186054,xgboost,0.7321181158506991,-0.00028892513209366477,0.7283019210840016,0.7321181158506991,0.7282664824557845,1,R6,ood
g0_R7_to_R6,42,B,grouped,5,5,5,,1,time_block,0.7261528446566609,xgboost,0.7321181158506991,-0.005965271194038224,0.7283019210840016,0.7321181158506991,0.7282664824557845,1,R6,ood
g0_R2_R5_to_R6,42,A,random,5,5,2,,2,round_group,0.28418808214566266,rf,0.28717278364337184,-0.0029847014977091857,0.28717278364337184,0.28529462155402663,0.2842288058204464,2,R6,ood
g0_R2_R5_to_R6,42,A_prime,random,2,2,2,True,2,round_group,0.2831573371181265,rf,0.28717278364337184,-0.004015446525245325,0.28717278364337184,0.28529462155402663,0.2842288058204464,2,R6,ood
g0_R2_R5_to_R6,42,B,grouped,5,2,2,,2,round_group,0.28840294634134356,rf,0.28717278364337184,0.001230162697971715,0.28717278364337184,0.28529462155402663,0.2842288058204464,2,R6,ood
g0_R3_R5_to_R6,42,A,random,5,5,2,,2,round_group,0.2855218855218855,xgboost,0.3305930269444515,-0.04507114142256596,0.31761512989288637,0.3305930269444515,0.31214648089955704,2,R6,ood
g0_R3_R5_to_R6,42,A_prime,random,2,2,2,True,2,round_group,0.29638678360745396,xgboost,0.3305930269444515,-0.03420624333699751,0.31761512989288637,0.3305930269444515,0.31214648089955704,2,R6,ood
g0_R3_R5_to_R6,42,B,grouped,5,2,2,,2,round_group,0.4143483907396951,xgboost,0.3305930269444515,0.08375536379524362,0.31761512989288637,0.3305930269444515,0.31214648089955704,2,R6,ood
g0_R4_R7_to_R6,42,A,random,5,5,2,,2,round_group,0.7780587463925329,xgboost,0.7919417269183906,-0.01388298052585768,0.761757222669349,0.7919417269183906,0.7734738502373423,2,R6,ood
g0_R4_R7_to_R6,42,A_prime,random,2,2,2,True,2,round_group,0.786797531083859,xgboost,0.7919417269183906,-0.0051441958345316285,0.761757222669349,0.7919417269183906,0.7734738502373423,2,R6,ood
g0_R4_R7_to_R6,42,B,grouped,5,2,2,,2,round_group,0.6001097258813392,xgboost,0.7919417269183906,-0.19183200103705145,0.761757222669349,0.7919417269183906,0.7734738502373423,2,R6,ood
g0_R2_R3_R5_to_R6,42,A,random,5,5,3,,3,round_group,0.6263439241615194,lightgbm,0.6648088984683613,-0.038464974306841926,0.5750811606983018,0.6539842969749964,0.6648088984683613,3,R6,ood
