unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
inner_to_R4,flat_drop_rssi,xgboost,42,0.7666953868080096,0.7430340557275542,0.6383981154299175,0.7044854881266491,0.7475592747559274,1.0,0.7666953868080096,0.9139801561400075,0.984,
inner_to_R4,flat_drop_rssi,lightgbm,42,0.7644700953224918,0.7630769230769231,0.6258823529411764,0.6816380449141347,0.7517531556802244,1.0,0.7644700953224918,0.915108461685192,0.984,
inner_to_R4,flat_full94,rf,43,0.6694667262819676,0.9228650137741047,0.5415094339622641,0.11,0.7729591836734694,1.0,0.6694667262819676,0.7112623308826728,0.7333333333333333,
inner_to_R4,flat_full94,xgboost,43,0.6640068246744149,0.9380053908355795,0.5293532338308458,0.05025125628140704,0.8024242424242424,1.0,0.6640068246744149,0.7187356003615025,0.7333333333333333,
inner_to_R4,flat_full94,lightgbm,43,0.6661799166983895,0.9378378378378378,0.5449160908193484,0.055,0.7931456548347613,1.0,0.6661799166983895,0.7202734515053244,0.7333333333333333,
inner_to_R4,flat_drop_rssi,rf,43,0.7184034523508986,0.6296296296296297,0.5801886792452831,0.643979057591623,0.7382198952879581,1.0,0.7184034523508986,0.8633254491540207,0.9673333333333332,
inner_to_R4,flat_drop_rssi,xgboost,43,0.7628771327929813,0.7434715821812596,0.6251468860164512,0.6957671957671958,0.75,1.0,0.7628771327929813,0.9139801561400075,0.984,
inner_to_R4,flat_drop_rssi,lightgbm,43,0.7644700953224918,0.7630769230769231,0.6258823529411764,0.6816380449141347,0.7517531556802244,1.0,0.7644700953224918,0.915108461685192,0.984,
inner_to_R4,flat_full94,rf,44,0.669298354700006,0.9228650137741047,0.5348399246704332,0.11442786069651742,0.7743589743589744,1.0,0.669298354700006,0.7112623308826728,0.7333333333333333,
inner_to_R4,flat_full94,xgboost,44,0.6625483023553383,0.9365721997300944,0.5312190287413281,0.050761421319796954,0.7941888619854721,1.0,0.6625483023553383,0.7187356003615025,0.7333333333333333,
inner_to_R4,flat_full94,lightgbm,44,0.6661799166983895,0.9378378378378378,0.5449160908193484,0.055,0.7931456548347613,1.0,0.6661799166983895,0.7202734515053244,0.7333333333333333,
inner_to_R4,flat_drop_rssi,rf,44,0.7198816331870932,0.622895622895623,0.5817757009345794,0.6473684210526316,0.7473684210526316,1.0,0.7198816331870932,0.853744927536232,0.984,
inner_to_R4,flat_drop_rssi,xgboost,44,0.7626329213907475,0.7576687116564417,0.6220657276995305,0.696,0.7374301675977654,1.0,0.7626329213907475,0.9078014079899839,0.984,
inner_to_R4,flat_drop_rssi,lightgbm,44,0.7644700953224918,0.7630769230769231,0.6258823529411764,0.6816380449141347,0.7517531556802244,1.0,0.7644700953224918,0.915108461685192,0.984,
inner_to_R4,flat_full94,rf,45,0.6593248746488087,0.9228650137741047,0.5347091932457786,0.06649616368286446,0.772554002541296,1.0,0.6593248746488087,0.7112623308826728,0.7333333333333333,
inner_to_R4,flat_full94,xgboost,45,0.6648087018489331,0.9408602150537635,0.5231071779744346,0.05513784461152882,0.8049382716049382,1.0,0.6648087018489331,0.7217623659111576,0.7333333333333333,
inner_to_R4,flat_full94,lightgbm,45,0.6661799166983895,0.9378378378378378,0.5449160908193484,0.055,0.7931456548347613,1.0,0.6661799166983895,0.7202734515053244,0.7333333333333333,
inner_to_R4,flat_drop_rssi,rf,45,0.7191389739692482,0.625,0.584971098265896,0.65,0.7357237715803453,1.0,0.7191389739692482,0.8556422064875008,0.9673333333333332,
inner_to_R4,flat_drop_rssi,xgboost,45,0.7633349246757811,0.7446153846153846,0.6276346604215457,0.7021276595744681,0.742296918767507,1.0,0.7633349246757811,0.9021377913824488,0.984,
inner_to_R4,flat_drop_rssi,lightgbm,45,0.7644700953224918,0.7630769230769231,0.6258823529411764,0.6816380449141347,0.7517531556802244,1.0,0.7644700953224918,0.915108461685192,0.984,
inner_to_R4,flat_full94,rf,46,0.6580600178979088,0.9213793103448276,0.5400372439478585,0.05181347150259067,0.7770700636942676,1.0,0.6580600178979088,0.7088168879634462,0.7333333333333333,
inner_to_R4,flat_full94,xgboost,46,0.6638971224640832,0.9365721997300944,0.5244267198404786,0.06965174129353234,0.7888349514563107,1.0,0.6638971224640832,0.7156106003615025,0.7333333333333333,
inner_to_R4,flat_full94,lightgbm,46,0.6661799166983895,0.9378378378378378,0.5449160908193484,0.055,0.7931456548347613,1.0,0.6661799166983895,0.7202734515053244,0.7333333333333333,
inner_to_R4,flat_drop_rssi,rf,46,0.7236779281422108,0.6306913996627319,0.5885111371629543,0.6544502617801047,0.7447368421052631,1.0,0.7236779281422108,0.8640320931613144,0.9673333333333332,
inner_to_R4,flat_drop_rssi,xgboost,46,0.7608828311094565,0.7480680061823802,0.6286379511059371,0.6922060766182299,0.7355021216407355,1.0,0.7608828311094565,0.9046736790764964,0.984,
inner_to_R4,flat_drop_rssi,lightgbm,46,0.7644700953224918,0.7630769230769231,0.6258823529411764,0.6816380449141347,0.7517531556802244,1.0,0.7644700953224918,0.915108461685192,0.984,
pos_R5,flat_full94,rf,42,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,0.7012224296594887,0.7726907548510337,0.7585470085470085,
pos_R5,flat_full94,xgboost,42,0.6603072409777727,0.9226441631504922,0.09540636042402827,0.7036199095022625,0.5798657718120805,1.0,0.6603072409777727,0.694852303878094,0.7119815668202765,
pos_R5,flat_full94,lightgbm,42,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.6583908067353137,0.6994959648853432,0.7117241379310345,
pos_R5,flat_drop_rssi,rf,42,0.6756305912756534,0.5212765957446809,0.4653179190751445,0.7324675324675325,0.6590909090909091,1.0,0.6756305912756534,0.8127996130394731,0.8654545454545455,
pos_R5,flat_drop_rssi,xgboost,42,0.7288858292769937,0.6167247386759582,0.5374823196605375,0.7817938420348058,0.7084282460136674,1.0,0.7288858292769937,0.8358947018900162,0.9327184892402283,
pos_R5,flat_drop_rssi,lightgbm,42,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.7334187064794107,0.8629451839961465,0.9327184892402283,
pos_R5,flat_full94,rf,43,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,0.696014444295626,0.7698709274453314,0.7214285714285714,
pos_R5,flat_full94,xgboost,43,0.6569126106209839,0.9165487977369166,0.08849557522123894,0.6980920314253648,0.5814266487213997,1.0,0.6569126106209839,0.6948925965168389,0.7146853146853147,
pos_R5,flat_full94,lightgbm,43,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.6583908067353137,0.6994959648853432,0.7117241379310345,
