unit,arm,model,seed,device,n_win,true_share,runner_up_share,margin,mode_correct
inner_to_R3,flat_drop_rssi,rf,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,xgboost,43,Camera,365,0.9753424657534246,0.010958904109589041,0.9643835616438357,1
inner_to_R3,flat_drop_rssi,xgboost,43,Light_T1,363,0.7079889807162535,0.18457300275482094,0.5234159779614326,1
inner_to_R3,flat_drop_rssi,xgboost,43,Light_XM,369,0.6883468834688347,0.15718157181571815,0.5311653116531165,1
inner_to_R3,flat_drop_rssi,xgboost,43,Sensor,364,0.8846153846153846,0.06043956043956044,0.8241758241758241,1
inner_to_R3,flat_drop_rssi,xgboost,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_drop_rssi,lightgbm,43,Camera,365,0.9863013698630136,0.005479452054794521,0.9808219178082191,1
inner_to_R3,flat_drop_rssi,lightgbm,43,Light_T1,363,0.6914600550964187,0.18457300275482094,0.5068870523415978,1
inner_to_R3,flat_drop_rssi,lightgbm,43,Light_XM,369,0.6747967479674797,0.16260162601626016,0.5121951219512195,1
inner_to_R3,flat_drop_rssi,lightgbm,43,Sensor,364,0.8956043956043956,0.054945054945054944,0.8406593406593407,1
inner_to_R3,flat_drop_rssi,lightgbm,43,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,rf,44,Camera,365,0.9917808219178083,0.005479452054794521,0.9863013698630138,1
inner_to_R3,flat_full94,rf,44,Light_T1,363,0.256198347107438,0.4820936639118457,-0.22589531680440772,0
inner_to_R3,flat_full94,rf,44,Light_XM,369,0.7371273712737128,0.25203252032520324,0.4850948509485095,1
inner_to_R3,flat_full94,rf,44,Sensor,364,0.1978021978021978,0.6510989010989011,-0.45329670329670335,0
inner_to_R3,flat_full94,rf,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,xgboost,44,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
inner_to_R3,flat_full94,xgboost,44,Light_T1,363,0.10743801652892562,0.6363636363636364,-0.5289256198347108,0
inner_to_R3,flat_full94,xgboost,44,Light_XM,369,0.7533875338753387,0.17886178861788618,0.5745257452574526,1
inner_to_R3,flat_full94,xgboost,44,Sensor,364,0.008241758241758242,0.7417582417582418,-0.7335164835164836,0
inner_to_R3,flat_full94,xgboost,44,Socket,376,1.0,0.0,1.0,1
inner_to_R3,flat_full94,lightgbm,44,Camera,365,0.9945205479452055,0.005479452054794521,0.989041095890411,1
