unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,override_anyfam_loose,44,xgboost,0.7596548132688872,0.7925608011444921,0.6698679471788715,0.5836216839677048,0.7522236340533672,1.0,0.9848484848484849,66,1528
jit_R6,ovo_full94,44,xgboost,0.7800405087909336,0.8905660377358491,0.6326034063260341,0.6610169491525424,0.7160161507402423,1.0,1.0,66,0
jit_R6,flat_full94,44,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
jit_R6,flat_drop_rssi,44,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,override_gate3,44,lightgbm,0.7859034266158459,0.9057104913678619,0.677382319173364,0.6329411764705882,0.7134831460674157,1.0,1.0,66,894
jit_R6,override_anyfam_loose,44,lightgbm,0.7009883594414159,0.5714285714285714,0.677382319173364,0.5220883534136547,0.7340425531914894,1.0,0.8333333333333334,66,1543
jit_R6,ovo_full94,44,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,flat_full94,45,rf,0.7442315034210465,0.7994186046511628,0.611764705882353,0.6224066390041494,0.6875675675675675,1.0,0.9545454545454546,66,0
jit_R6,flat_drop_rssi,45,rf,0.7014115771919103,0.5862068965517241,0.5937834941050375,0.5962566844919787,0.7308108108108108,1.0,0.9242424242424242,66,0
jit_R6,override_gate3,45,rf,0.7540445930688809,0.7994186046511628,0.6258823529411764,0.6258692628650904,0.7190527448869752,1.0,0.9848484848484849,66,1028
jit_R6,override_anyfam_loose,45,rf,0.7266226104853492,0.7068145800316957,0.6231038506417736,0.5757196495619524,0.7274749721913237,1.0,0.9848484848484849,66,1377
jit_R6,ovo_full94,45,rf,0.6882052044954073,0.5637342908438061,0.6186895810955961,0.5833333333333334,0.6752688172043011,1.0,0.8939393939393939,66,0
jit_R6,flat_full94,45,xgboost,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,1.0,66,0
