unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
pos_R5,override_anyfam_loose,46,rf,0.7284227489862672,0.8677563150074294,0.37392795883361923,0.7072330654420207,0.693196405648267,1.0,0.8666666666666667,60,1281
pos_R5,override_gate3,42,rf,0.735154847794702,0.8849557522123894,0.3747870528109029,0.7093821510297483,0.7066492829204694,1.0,0.85,60,841
pos_R5,override_gate3,43,rf,0.7307203218696181,0.8849557522123894,0.3623931623931624,0.7111622554660529,0.6950904392764858,1.0,0.8333333333333334,60,837
pos_R5,override_gate3,44,rf,0.7276438083699223,0.8545454545454545,0.3745819397993311,0.7151095732410612,0.6939820742637645,1.0,0.8666666666666667,60,850
pos_R5,override_gate3,45,rf,0.7253275896704034,0.8597285067873304,0.3694915254237288,0.7121387283236994,0.6852791878172588,1.0,0.8666666666666667,60,842
pos_R5,override_gate3,46,rf,0.7305747895775468,0.8703427719821163,0.37225042301184436,0.7124856815578465,0.6977950713359273,1.0,0.8666666666666667,60,857
pos_R5,ovo_full94,42,rf,0.6649311167983222,0.8108108108108109,0.22182468694096602,0.6752688172043011,0.616751269035533,1.0,0.8,60,0
pos_R5,ovo_full94,43,rf,0.6692110837289784,0.819620253164557,0.22580645161290322,0.677384780278671,0.6232439335887612,1.0,0.8,60,0
pos_R5,ovo_full94,44,rf,0.6536392445751702,0.7742998352553542,0.21129326047358835,0.6695005313496281,0.6131025957972805,1.0,0.8,60,0
pos_R5,ovo_full94,45,rf,0.6653744105483236,0.7922077922077922,0.23214285714285715,0.6789189189189189,0.6236024844720497,1.0,0.8,60,0
pos_R5,ovo_full94,46,rf,0.6594800153865675,0.7980613893376414,0.209009009009009,0.6788008565310493,0.6115288220551378,1.0,0.8,60,0
