unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
jit_R6,outer,drop_rssi,stacking,42,86,0.7467234864287804,0.9033586984546389,333.0,0.9845925925925926,66.0
jit_R6,outer,drop_rssi,rf::Camera,42,86,0.5759162303664922,,,,
jit_R6,outer,drop_rssi,rf::Light_T1,42,86,0.5898520084566596,,,,
jit_R6,outer,drop_rssi,rf::Light_XM,42,86,0.5962059620596206,,,,
jit_R6,outer,drop_rssi,rf::Sensor,42,86,0.7298170075349839,,,,
jit_R6,outer,drop_rssi,rf::Socket,42,86,1.0,,,,
jit_R6,outer,drop_rssi,xgboost::Camera,42,86,0.657762938230384,,,,
jit_R6,outer,drop_rssi,xgboost::Light_T1,42,86,0.6230936819172114,,,,
jit_R6,outer,drop_rssi,xgboost::Light_XM,42,86,0.6350461133069829,,,,
jit_R6,outer,drop_rssi,xgboost::Sensor,42,86,0.7802197802197802,,,,
jit_R6,outer,drop_rssi,xgboost::Socket,42,86,1.0,,,,
jit_R6,outer,drop_rssi,lightgbm::Camera,42,86,0.6710526315789473,,,,
jit_R6,outer,drop_rssi,lightgbm::Light_T1,42,86,0.621380846325167,,,,
jit_R6,outer,drop_rssi,lightgbm::Light_XM,42,86,0.6421052631578947,,,,
jit_R6,outer,drop_rssi,lightgbm::Sensor,42,86,0.782608695652174,,,,
jit_R6,outer,drop_rssi,lightgbm::Socket,42,86,1.0,,,,
jit_R6,outer,drop_rssi,stacking::Camera,42,86,0.6951026856240127,,,,
jit_R6,outer,drop_rssi,stacking::Light_T1,42,86,0.6283783783783784,,,,
jit_R6,outer,drop_rssi,stacking::Light_XM,42,86,0.6328437917222964,,,,
jit_R6,outer,drop_rssi,stacking::Sensor,42,86,0.777292576419214,,,,
jit_R6,outer,drop_rssi,stacking::Socket,42,86,1.0,,,,
jit_R7,outer,drop_rssi,rf,42,86,0.7951001444609315,0.9788091054798898,333.0,1.0,66.0
jit_R7,outer,drop_rssi,xgboost,42,86,0.8360572426086055,0.9847956073494271,333.0,1.0,66.0
jit_R7,outer,drop_rssi,lightgbm,42,86,0.8358327659297284,0.9848450830713965,333.0,1.0,66.0
jit_R7,outer,drop_rssi,stacking,42,86,0.8269700693298777,0.9816696098662909,333.0,1.0,66.0
jit_R7,outer,drop_rssi,rf::Camera,42,86,0.8125854993160054,,,,
jit_R7,outer,drop_rssi,rf::Light_T1,42,86,0.6797546012269938,,,,
jit_R7,outer,drop_rssi,rf::Light_XM,42,86,0.7331606217616581,,,,
jit_R7,outer,drop_rssi,rf::Sensor,42,86,0.75,,,,
jit_R7,outer,drop_rssi,rf::Socket,42,86,1.0,,,,
jit_R7,outer,drop_rssi,xgboost::Camera,42,86,0.8766756032171582,,,,
jit_R7,outer,drop_rssi,xgboost::Light_T1,42,86,0.7243510506798516,,,,
jit_R7,outer,drop_rssi,xgboost::Light_XM,42,86,0.7755644090305445,,,,
