window_start,window_id,round,oof_rf_Camera,oof_rf_Light_T1,oof_rf_Light_XM,oof_rf_Sensor,oof_rf_Socket,oof_xgboost_Camera,oof_xgboost_Light_T1,oof_xgboost_Light_XM,oof_xgboost_Sensor,oof_xgboost_Socket,oof_lightgbm_Camera,oof_lightgbm_Light_T1,oof_lightgbm_Light_XM,oof_lightgbm_Sensor,oof_lightgbm_Socket,true_label
801.3723630905151,80,R5,0.19,0.718,0.07,0.02,0.002,0.00618649460375309,0.9852005243301392,0.004769550636410713,0.0011233731638640165,0.0027200907934457064,3.926506903226818e-06,0.9999912816503396,4.202401114941063e-06,8.941871416273895e-08,5.000229280385724e-07,Light_T1
3434.0690405368805,343,R5,0.022,0.042,0.888,0.048,0.0,4.450093547347933e-05,0.000516171392519027,0.999251663684845,0.00010807123908307403,7.958245987538248e-05,1.3451373512160712e-08,2.23559891686916e-07,0.9999997209946659,8.632158631313627e-09,3.336191034709361e-08,Light_XM
3551.1647901535034,355,R5,0.002,0.0,0.0,0.0,0.998,0.00020533011411316693,0.0013299334095790982,0.00012132676056353375,0.00011766482202801853,0.998225748538971,8.794489701369981e-08,1.9781370444736747e-06,1.7382526795498653e-07,1.1888732689937006e-08,0.9999977482040578,Socket
3303.2593443393707,330,R5,0.008,0.052,0.826,0.114,0.0,0.0005417492357082665,0.0004940827493555844,0.9970715045928955,0.0013786281924694777,0.0005140677094459534,3.298874994614078e-07,2.2053414407075624e-07,0.9999989080812609,1.0303391033096648e-07,4.3846318534365025e-07,Light_XM
230.80701422691345,23,R5,0.004,0.004,0.24,0.752,0.0,0.0002076207601930946,0.0002598216524347663,0.007614693604409695,0.9914536476135254,0.0004642340063583106,6.516535556958518e-07,7.684224804579631e-07,3.813354517949193e-05,0.9999577385485144,2.7078302698513885e-06,Sensor
660.4570894241333,66,R5,0.01,0.006,0.89,0.094,0.0,0.00022184790577739477,0.00023722241166979074,0.9953837990760803,0.0036287778057157993,0.0005282924976199865,3.477692533866495e-07,2.725125003097175e-07,0.9999797488359294,1.804901222646588e-05,1.5818700904637166e-06,Light_XM
460.45777010917664,46,R5,0.966,0.028,0.002,0.004,0.0,0.9993287324905396,0.000157647198648192,0.0001506427797721699,9.867332846624777e-05,0.0002643396728672087,0.9999997853479431,1.7076207326820787e-08,6.538199460252466e-08,1.376637016341013e-08,1.1842748485857278e-07,Camera
1090.3779227733612,109,R5,0.058,0.082,0.004,0.006,0.85,0.004618168342858553,0.001929118880070746,0.00016799264994915575,0.00023849534045439214,0.993046224117279,2.2421880772079288e-05,1.1576502051281134e-05,1.286890879745565e-08,4.5381669470952614e-08,0.9999659433665984,Socket
2202.2022356987,220,R5,0.946,0.04,0.008,0.002,0.004,0.998672604560852,0.0003439243300817907,0.0003553431888576597,0.00026194044039584696,0.0003662186791189015,0.9999988430503797,1.2644431010803344e-07,3.9764586501329376e-07,9.4809766473394e-08,5.380496787279666e-07,Camera
3110.780149698257,311,R5,0.026,0.026,0.176,0.768,0.004,0.0007755382102914155,0.0006487445207312703,0.006430875975638628,0.9912330508232117,0.0009118517045862973,1.169770316625382e-06,8.634549645747186e-07,5.877054865443633e-06,0.9999883363634933,3.7533563599301634e-06,Sensor
1740.9548082351685,174,R5,0.016,0.01,0.824,0.144,0.006,0.00016720806888770312,0.0002700180921237916,0.9963962435722351,0.002798240864649415,0.00036834029015153646,1.4758316793804767e-07,1.1376033261244586e-07,0.9999942289026313,5.082553232490367e-06,4.2720063577760524e-07,Light_XM
1270.198306798935,127,R5,0.766,0.214,0.01,0.004,0.006,0.9986763596534729,0.0006277056527324021,0.0001957473868969828,0.0001520898222224787,0.00034802951267920434,0.999998611042416,4.1214129918953245e-07,1.7997221677254858e-07,7.383950952105611e-08,7.230045585050656e-07,Camera
1060.8224337100985,106,R5,0.006,0.01,0.352,0.632,0.0,0.0002044595603365451,0.0004436851304490119,0.025179309770464897,0.9737662672996521,0.00040621173684485257,2.552136439720634e-07,6.418584395895875e-07,7.455352565756681e-05,0.9999229318589783,1.6175432806131433e-06,Sensor
