task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R2_R5_R7_to_R6,42,0.0018191065128956,0.0020330746653585,-0.1290210814192112,0.00021396815246289987,-0.1310541560845697,-0.1308401879321068
g0_R2_R5_to_R3,42,-0.0427577730735159,-0.0359408726180204,0.0185120941950908,0.006816900455495503,0.054452966813111195,0.0612698672686067
g0_R2_R5_to_R4,42,-0.0520964017650156,-0.0629017796914164,-0.1081809570886843,-0.010805377926400801,-0.0452791773972679,-0.056084555323668704
g0_R2_R5_to_R6,42,-0.0029847014977091,-0.0040154465252453,0.0012301626979717,-0.0010307450275362003,0.0052456092232170005,0.0042148641956808
g0_R2_R5_to_R7,42,-0.0041825121142345,-0.0041825121142345,-0.0006796584835565,0.0,0.0035028536306779996,0.0035028536306779996
g0_R2_R6_R7_to_R3,42,-0.0787850637300552,-0.0755701811865366,-0.0536852450532711,0.0032148825435185935,0.021884936133265503,0.025099818676784097
g0_R2_R6_R7_to_R4,42,-0.0368752800137883,-0.0404937274787275,-0.0059041980893393,-0.003618447464939202,0.0345895293893882,0.030971081924449
g0_R2_R6_R7_to_R5,42,-0.1208682271101788,-0.1205604316064391,-0.0901074029446471,0.0003077955037397023,0.030453028661792003,0.030760824165531706
g0_R2_R6_to_R3,42,-0.0514768709390967,-0.0517906460172196,0.0078741237750509,-0.0003137750781229062,0.059664769792270506,0.0593509947141476
g0_R2_R6_to_R4,42,-0.0418107329079577,-0.0468915218086224,-0.0428215216934987,-0.005080788900664698,0.0040700001151236995,-0.0010107887855409989
g0_R2_R6_to_R5,42,-0.0608387041177167,-0.0582353294504511,-0.087478255415583,0.0026033746672655955,-0.0292429259651319,-0.026639551297866305
g0_R2_R6_to_R7,42,0.0005360133750521,0.0035467445101359,-0.1265653706571295,0.0030107311350838,-0.1301121151672654,-0.1271013840321816
g0_R2_R7_to_R3,42,-0.0193672631990632,-0.016494027006096,0.009546833925622,0.002873236192967199,0.026040860931718,0.0289140971246852
g0_R2_R7_to_R4,42,-0.034501383074856,-0.0395065298790049,-0.0696715788079885,-0.005005146804148902,-0.03016504892898359,-0.035170195733132494
g0_R2_R7_to_R5,42,-0.0667355508046241,-0.0690086714152579,-0.0184059823325454,-0.002273120610633811,0.05060268908271251,0.0483295684720787
g0_R2_R7_to_R6,42,-0.0128128801364302,-0.01711315682879,-0.175498458523642,-0.0043002766923598,-0.158385301694852,-0.1626855783872118
g0_R2_to_R3,42,-0.0225704047251392,-0.0225704047251392,-0.0232073138050085,0.0,-0.0006369090798693001,-0.0006369090798693001
g0_R2_to_R4,42,-0.1199672907945104,-0.1199672907945104,-0.1323159516411857,0.0,-0.012348660846675297,-0.012348660846675297
g0_R2_to_R5,42,-0.0232412900476282,-0.0232412900476282,-0.0234408124085441,0.0,-0.00019952236091589845,-0.00019952236091589845
g0_R2_to_R6,42,-0.0020762560370454,-0.0020762560370454,-0.0020762560370454,0.0,0.0,0.0
g0_R2_to_R7,42,0.0,0.0,0.0,0.0,0.0,0.0
g0_R3_R4_R5_to_R2,42,-0.0013919460275392,-0.0011205894934873,-0.0948721796130495,0.00027135653405189987,-0.0937515901195622,-0.0934802335855103
g0_R3_R4_R5_to_R6,42,-0.0383669004336837,-0.0349001202260262,-0.1295682262730894,0.003466780207657505,-0.09466810604706319,-0.09120132583940568
g0_R3_R4_R5_to_R7,42,-0.0549889154923535,-0.0506038477308483,-0.1358133265349604,0.004385067761505199,-0.08520947880411209,-0.0808244110426069
g0_R3_R4_R6_to_R2,42,-0.0273550112351685,-0.0273845877796521,-0.019212794592582,-2.9576544483600475e-05,0.008171793187070103,0.008142216642586502
g0_R3_R4_R6_to_R5,42,-0.000417254813148,-0.00484417848368,0.0569231487659839,-0.004426923670532,0.0617673272496639,0.0573404035791319
g0_R3_R4_R6_to_R7,42,-0.0004926793467662,-0.0024558768907529,-0.1187254752003494,-0.0019631975439867,-0.1162695983095965,-0.1182327958535832
g0_R3_R4_R7_to_R2,42,-0.0341659447100086,-0.0351627083259264,-0.017867001942737,-0.0009967636159178006,0.017295706383189398,0.016298942767271597
g0_R3_R4_R7_to_R5,42,-0.0052127843784037,-8.287470569168232e-05,0.0565688760169922,0.005129909672712017,0.056651750722683886,0.061781660395395906
