feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
subwin_byte_std,0.13900251156113796,False,True,,,0.16478913178430582,0.0,0.0,-1.0,False
burst_size_max,0.13697625724264118,False,True,,,0.1623869831744052,0.0,0.0,-1.0,False
subwin_packet_std,0.12835782720736644,False,True,,,0.15216973179595045,0.0,0.0,-1.0,False
byte_count,0.1874502101898461,False,True,,,0.2222244551055038,0.0,0.0,-1.0,False
subwin_packet_mean,0.1754318273183073,False,True,,,0.2079765191753594,0.0,0.0,-1.0,False
len_std,0.21099071944841663,False,True,,,0.25013200899724797,0.0,0.0,-1.0,False
len_mean,0.25884579607909064,False,True,,,0.3068647718867276,0.0,0.0,-1.0,False
down_len_mean,0.2763711008610885,False,True,,,0.32764122928196354,0.0,0.0,-1.0,False
interarrival_iqr,0.30193093662185344,False,True,,,0.357942718774931,0.0,0.0,-1.0,False
burst_packet_fraction,0.1817860916453542,False,True,,,0.2155095751599017,0.0,0.0,-1.0,False
subwin_byte_mean,0.18743854803296855,False,True,,,0.22221062947972914,0.0,0.0,-1.0,False
interarrival_p10,0.0592092979608303,False,True,,,0.0701933274078434,0.0,0.0,-1.0,False
side_packet_ratio,0.009632322883144084,False,True,,,0.011419233416377995,0.0,0.0,-1.0,False
mgmt_ratio,0.0,False,True,,,0.0,0.0,0.0,-1.0,False
