replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_strict
1584,0.13669727313369318,0.13742820014900947,0.7934012868448936,0.8478801449118172,0.0007309270153162961,0.05447885806692354,-0.26143278618535426,-0.007273941621755476,-0.19960116085612392,0.12193266741895006,-0.0798388041417209,1.1330858672069983,-0.5920411480528593,-0.08375495123174302,-0.05513971882014554,-0.9297893398492064,-0.750344241390163,-0.3939540233396738,-9.992007221626409e-16,0.20709417411487926,1.4365251010501254,-0.35675472233200356
1585,0.12555532205259412,0.15360197918626417,0.5416788599475563,0.6216267506754356,0.02804665713367005,0.07994789072787933,-0.28640335008810214,0.019039144816874708,-0.029752651653355576,0.16466550777310673,-0.1934492943529425,1.5711309858621725,-0.9271322393543182,-0.4599928392639507,-0.39964494096385617,-0.9799112749684973,-0.5359632710411381,-0.40681537900787385,1.3322676295501878e-15,0.12918772328994055,0.9090515655302848,-0.4047350244429718
1586,0.1679239109249001,0.1842439992920356,0.5969847497143863,0.7380153424562128,0.0163200883671355,0.1410305927418265,-0.28105578645536994,0.153282430345894,-0.07880619478198572,0.1547651947162227,-0.06450618910985749,1.5552670689636887,-0.8549176249526362,-0.40164125451400157,-0.26127838621101473,-0.8501307302305157,-0.3958524037467995,-0.50244080965799,5.551115123125783e-16,-0.008540784695970971,1.1444440619717058,-0.49105586491606457
1587,0.21170849809381176,0.21184736015611383,0.6133615031459261,0.6606598778376256,0.00013886206230206977,0.04729837469169951,-0.3466631247436941,0.2035320254307889,-0.24302858008647954,0.16210389804866537,-0.0755982132816434,1.5206608332364835,-0.9776636110374853,-0.042408578244654056,0.5378163227358852,-1.4076868550132347,-1.88870195891547,0.22583094322541797,0.0,0.04249881111723686,0.9928420586248504,-0.2783463561510027
1588,0.11864370045669448,0.13798361463747166,0.4752239442989291,0.650591198549721,0.019339914180777185,0.17536725425079192,-0.26945133524306153,0.01127449161420744,-0.10993426044128923,0.11875238011143116,-0.1485850448323629,1.2154924313219304,-0.5683408643084367,-0.36893937274855687,-0.8045807743339973,-1.386495637805763,-1.597904429997854,0.2736188929136599,-4.718447854656915e-15,0.8755188580051063,0.5482377526663615,-0.8180748923156453
1589,0.16342430834515465,0.17677700090088289,0.4584215986916611,0.6280658077809755,0.01335269255572824,0.16964420908931443,-0.20315370798203325,0.09729875149384054,-0.19306975091134285,0.13720297041001792,0.026722933411365293,1.22214661782944,-0.487006498507778,-0.35666152337292806,-0.7624841950761261,-1.4917286761820105,-1.5685280352778848,0.23538806970979215,6.38378239159465e-16,0.8010145721732509,0.7621144864571943,-0.7992649108882709
1590,0.14932823501145098,0.222274155569959,0.666567880136127,0.7062508786441368,0.07294592055850802,0.039682998508009826,-0.21066430832015726,-0.0419036153176262,-0.038116154375794666,0.2034472711324565,-0.2426676087568787,1.3317322003005359,-0.6428416336557904,-0.6204004496393417,-0.5910997124921061,-0.9547970353816408,-1.1614107846000679,0.09854681122531178,-6.661338147750939e-16,0.7361741692326509,0.20729926920209324,-0.7791684637649511
1591,0.21225362416766502,0.21625529077325734,0.8484960456823134,0.9455044844688786,0.004001666605592313,0.09700843878656518,-0.10657813606283345,0.04154867538621916,-0.35522498825121684,0.045300546958475754,-0.20149451821650008,1.2212664364062475,-0.5767061664286843,-0.22012899767999286,0.19233328201212258,-0.528389217725495,-0.6237471902704381,-0.3229599270340317,0.0,-0.06049989634349032,0.8469090261845306,-0.46424420305135367
1592,0.13855730170511926,0.14200230591478002,0.8651413693411758,0.8724738243818231,0.0034450042096607625,0.007332455040647279,-0.17344423729340555,-0.13152947457131847,-0.2129506704107534,0.14531229303609056,-0.16993995778005783,1.1326847715797408,-0.6292462714539235,-0.1690661332807195,-0.08578724044248975,-0.8634094991425207,-0.996370873648305,-0.3181032208223292,-1.7763568394002505e-15,0.20165350675950455,1.5171132741464652,-0.28789107320009044
1593,0.16721643116448914,0.19725108652114998,0.2838548986073042,0.5092748977743515,0.030034655356660833,0.22541999916704736,-0.22659541406209951,0.13575501257221498,-0.10174821635925155,0.12990500722499693,0.07156149700419673,1.4690122342213519,-0.6234094636499233,-0.5088963213404406,-0.20271839424832105,-0.836838239954838,-0.5121217761688158,-0.33462736109764796,0.0,0.1715723949540466,0.7329970291015369,-0.5060971576694971
