variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
sens_ref_random,lenient,primary,M0,d_recall_Light_T1,-0.2552268290208197,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0,d_recall_Light_XM,-0.4496876275885364,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0,d_recall_Sensor,-0.16768263796689592,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0,d_recall_Socket,-4.440892098500626e-16,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0,d_recall_l2,1.8652445710285475,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0,d_recall_max,-0.832754675895577,,,0,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_Camera,-0.6508331029945118,-1.7459761624784662,-0.019483685550366496,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_Light_T1,-0.3342236410077842,-1.2707163322842994,0.1932805000467525,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_Light_XM,-0.4387213988579019,-1.4138752772832035,0.22052840209615834,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_Sensor,-0.22247788552478498,-0.9352035883513022,0.35796801802417466,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_Socket,-4.440892098500626e-16,-4.440892098500626e-15,4.551914400963142e-15,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_l2,2.6250750738417743,0.8275840791418646,6.086412913917286,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,d_recall_max,-1.0493397924545458,-2.408694188678809,-0.10068362152078376,10000,True,10000,10000
sens_ref_random,lenient,primary,M1,cpd_y,-0.4074758244198729,-1.0011998665834776,0.23700710804244154,10000,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_Camera,-0.031444140168901985,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_Light_T1,-0.057988016315372724,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_Light_XM,0.02870873737049325,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_Sensor,0.03343110222573401,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_Socket,5.551115123125783e-17,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_l2,-0.3603107399582027,,,0,True,10000,10000
sens_ref_random,lenient,primary,M0_sub,d_recall_max,0.5296386582650251,,,0,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_Camera,-0.34499806781514264,-0.9272475963622462,0.33500376660297015,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_Light_T1,-0.12100047684330789,-1.1708379699070466,0.21606754776344247,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_Light_XM,-0.10776127916799763,-0.9429353869054511,0.26536300161930304,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_Sensor,-0.1681887021912616,-1.3929191798002416,0.44713705997953324,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_Socket,-1.5265566588595902e-16,-1.554398970649018e-15,1.7208456881689926e-15,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_l2,0.4873683443439551,-0.9630496286790624,2.492968069461894,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,d_recall_max,0.02084295235422448,-1.2851849675964324,1.1144135835186928,10000,True,10000,10000
sens_ref_random,lenient,primary,M2,cpd_dir_lenient,-0.3773037383775566,-0.6442484954295126,-0.20149806057448635,10000,True,10000,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_Camera,-0.05371618216167537,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_Light_T1,0.02511773948429627,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_Light_XM,-0.2590417100312346,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_Sensor,0.040271047163333504,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_Socket,-0.1568508426184538,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_l2,0.7706771135079953,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M0,d_recall_max,-0.3781875646899437,,,0,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_Camera,-0.052293516243004864,-0.28508776119310864,0.3062609045855408,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_Light_T1,0.02905332999647376,-0.1723145562959595,0.27307159095088285,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_Light_XM,-0.26438199753846825,-0.7147071272108825,-0.07601902864527052,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_Sensor,0.04373555289570799,-0.07394278633411573,0.3065215548933178,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_Socket,-0.15550859904637726,-0.3454532994862774,0.010609144054346105,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_l2,0.723737460236342,-0.1628937783313706,1.4281520841461934,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,d_recall_max,-0.3671752823534169,-0.9548542815247064,0.17233052364387644,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M1,cpd_y,0.03759224120352937,-0.209160407467954,0.6017436216838559,10000,False,0,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_Camera,-0.33482489374922964,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_Light_T1,-1.1531815801682477,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_Light_XM,-0.665199453393636,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_Sensor,-0.282932244245647,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_Socket,-0.21993241901049077,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_l2,0.014350807146300881,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M0_sub,d_recall_max,1.3913176594488084,,,0,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_Camera,-0.22498250111548898,-0.9546610117786399,0.6887782062910773,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_Light_T1,-0.7728899433836213,-2.3412195853833,0.034876821065091275,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_Light_XM,-0.4483429376555823,-3.604791275585434,0.03236444562535216,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_Sensor,-0.42915256574281385,-1.9555288614087165,2.9537982321753584,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_Socket,0.10492056957256408,-0.15355402609504074,2.2220963091304116,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_l2,-0.19036746468579074,-1.76858167899899,0.32493288938577647,10000,False,89,10000
sens_recall_3model,strict,parallel_reported,M2,d_recall_max,1.2858724830222377,-4.350546778561014,4.452495781102854,10000,False,89,10000
