variant,cpd_dir_variant,cpd_dir_role,stat,boot_mean,boot_sd,ci_lo,ci_hi,n_finite,B,seed,n_degenerate_replicates_any_model,n_degenerate_replicates_by_model,md5
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_Sensor,-0.22884444804613172,0.3114973288590462,-0.9352035883513022,0.35796801802417466,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_Socket,-2.355904100276307e-17,3.2327533951089915e-15,-4.440892098500626e-15,4.551914400963142e-15,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_l2,2.8802600173422763,1.3285885282867596,0.8275840791418646,6.086412913917286,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_d_recall_max,-1.1456231981418716,0.5713826987362584,-2.408694188678809,-0.10068362152078376,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M1_cpd_y,-0.46060064623551017,0.32441185036415904,-1.0011998665834776,0.23700710804244154,10000,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_Camera,-0.48592973609451506,1.9578581880261432,-6.041016607996247,2.2159650624566503,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_Light_T1,0.3315874613534313,3.4098917193397296,-8.356411531571698,8.383581781423478,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_Light_XM,-0.30866605905026095,2.0891632512559175,-4.962598822600636,4.725303103386365,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_Sensor,-0.659713988863936,3.5062128660307814,-9.68690889149804,10.539746063431847,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_Socket,2.645427286640319e-16,1.9880478105171783e-14,-2.6828539390066905e-14,2.864375403532904e-14,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_l2,1.3127027102045479,6.948476385653184,-17.53937939951579,16.065175494158797,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
sens_ref_random,strict,parallel_reported,beta_M2_d_recall_max,-0.7966518119111025,4.035234425550987,-8.631820994656994,8.064417809717074,9815,10000,42,10000,M0=10000;M1=10000;M0_sub=9815;M2=9815,7ccef16eee0e737df8bab70a55b8b65e
