task,fold_e_out,lb_rf,lb_xgboost,lb_lightgbm,rho_rf,rho_xgboost,rho_lightgbm,w_rf,w_xgboost,w_lightgbm
g0_R4_to_R2,R2,0.9238504479582597,0.9300498581062099,0.9296025432830015,0.6664727009828098,0.7533326546668053,0.7678586811826489,0.33984419762773843,0.34239463336581916,0.3177611690064423
g0_R4_to_R3,R3,0.9238504479582597,0.9300498581062099,0.9296025432830015,0.6664727009828098,0.7533326546668053,0.7678586811826489,0.38196004330348365,0.31977580413129597,0.2982641525652204
g0_R4_to_R5,R5,0.9238504479582597,0.9300498581062099,0.9296025432830015,0.6664727009828098,0.7533326546668053,0.7678586811826489,0.34056762699378346,0.3434014444805398,0.31603092852567666
g0_R4_to_R6,R6,0.9238504479582597,0.9300498581062099,0.9296025432830015,0.6664727009828098,0.7533326546668053,0.7678586811826489,0.34056762699378346,0.3434014444805398,0.31603092852567666
g0_R4_to_R7,R7,0.9238504479582597,0.9300498581062099,0.9296025432830015,0.6664727009828098,0.7533326546668053,0.7678586811826489,0.34056762699378346,0.3434014444805398,0.31603092852567666
g0_R5_R6_R7_to_R2,R2,0.7076008932441107,0.6165110723806535,0.628053081654179,0.6774768709637247,0.7661051101501422,0.7597822423366835,0.9143193573799453,0.0400544055177428,0.04562623710231197
g0_R5_R6_R7_to_R3,R3,0.7076008932441107,0.6165110723806535,0.628053081654179,0.6774768709637247,0.7661051101501422,0.7597822423366835,0.7880028328328632,0.09242543780767082,0.11957172935946596
g0_R5_R6_R7_to_R4,R4,0.7076008932441107,0.6165110723806535,0.628053081654179,0.6774768709637247,0.7661051101501422,0.7597822423366835,0.7880028328328632,0.09242543780767082,0.11957172935946596
g0_R5_R6_to_R2,R2,0.40835593685457194,0.41605455825821896,0.41677677036740635,0.8607203975659121,0.9033015785819767,0.9041422362434461,0.326606321268733,0.3325442051280629,0.3408494736032042
g0_R5_R6_to_R3,R3,0.40835593685457194,0.41605455825821896,0.41677677036740635,0.8607203975659121,0.9033015785819767,0.9041422362434461,0.38105005999624464,0.3085910144651266,0.3103589255386288
g0_R5_R6_to_R4,R4,0.40835593685457194,0.41605455825821896,0.41677677036740635,0.8607203975659121,0.9033015785819767,0.9041422362434461,0.38105005999624464,0.3085910144651266,0.3103589255386288
g0_R5_R6_to_R7,R7,0.40835593685457194,0.41605455825821896,0.41677677036740635,0.8607203975659121,0.9033015785819767,0.9041422362434461,0.3258588754837774,0.3324565242163662,0.34168460029985653
