task,fold_e_out,target_env,n_sources,lb_basis,f1_rf,f1_stacking,f1_soft_equal,f1_route_b,f1_soft_calibrated,f1_hard_voting,macro_f1_4class_route_b,worst_class_f1_route_b,accuracy_route_b,gain_vs_stacking,gain_vs_rf,gain_vs_soft_equal,regret_route_b_vs_oracle3,regret_always_rf,regret_always_stacking,regret_always_soft_equal
g0_R2_R5_R7_to_R6,R6,R6,3,per_round_min,0.7765352528265127,0.6762644030601748,0.8117947366844904,0.8132124771168309,0.8127539127539128,0.8112751871912665,0.7665155963960386,0.6575342465753424,0.8118712273641852,0.1369480740566561,0.03667722429031817,0.001417740432340442,-0.001417740432340442,0.035259483857977725,0.13553033362431566,0.0
g0_R2_R5_to_R3,R3,R3,2,per_round_min,0.621243250606439,0.6397553448015298,0.5777836325437051,0.5845314947164002,0.5894783360292035,0.5789791403624305,0.48099637370758525,0.008746355685131196,0.5802939575394666,-0.055223850085129644,-0.03671175589003883,0.006747862172695074,0.055223850085129644,0.01851209419509081,0.0,0.06197171225782472
g0_R2_R5_to_R4,R4,R4,2,per_round_min,0.6158027595420854,0.507621802453401,0.5695914250177336,0.578532829793552,0.5885681689858661,0.5837609113325782,0.47316603724194006,0.14678899082568808,0.602266594711279,0.07091102734015098,-0.03726992974853338,0.008941404775818396,0.03726992974853338,0.0,0.10818095708868436,0.04621133452435178
g0_R2_R5_to_R6,R6,R6,2,per_round_min,0.28717278364337184,0.28840294634134356,0.2842288058204464,0.28418808214566266,0.28418808214566266,0.2831980199876249,0.10523510268207832,0.0,0.4039235412474849,-0.004214864195680901,-0.0029847014977091857,-4.0723674783749164e-05,0.004214864195680901,0.001230162697971715,0.0,0.004174140520897152
g0_R2_R5_to_R7,R7,R7,2,per_round_min,0.2802824004034291,0.2849083825663674,0.28244354838709673,0.2814055289356894,0.28244354838709673,0.28244354838709673,0.10175691116961169,0.0,0.4044154540893126,-0.003502853630678038,0.0011231285322602647,-0.001038019451407357,0.003502853630678038,0.0046259821629383024,0.0,0.0024648341792706807
g0_R2_R6_R7_to_R3,R3,R3,3,per_round_min,0.7030938870945135,0.6494086420412424,0.6227190121056771,0.6791241487890152,0.6362853453346103,0.6234842653857988,0.599237191298354,0.19343065693430658,0.6978769733260751,0.02971550674777279,-0.02396973830549831,0.05640513668333802,0.02396973830549831,0.0,0.0536852450532711,0.08037487498883633
g0_R2_R6_R7_to_R4,R4,R4,3,per_round_min,0.8522351872435838,0.8463309891542444,0.8100071610115214,0.8482318200781181,0.8331934240668668,0.8110101631688114,0.8102897750976477,0.740495867768595,0.8515920129519697,0.0019008309238737198,-0.004003367165465677,0.03822465906659678,0.004003367165465677,0.0,0.005904198089339396,0.042228026232062454
g0_R2_R6_R7_to_R5,R5,R5,3,per_round_min,0.6902865774067293,0.6001791744620821,0.5700944067845336,0.6901968310551023,0.5864964597443102,0.5717627599568266,0.6127460388188779,0.4214046822742475,0.6905286343612335,0.09001765659302019,-8.974635162695144e-05,0.12010242427056872,8.974635162695144e-05,0.0,0.09010740294464714,0.12019217062219567
g0_R2_R6_to_R3,R3,R3,2,per_round_min,0.6453461755964374,0.6532202993714883,0.5842815922161787,0.58544182452343,0.6008510431983284,0.5850289933362994,0.4821342859663725,0.003125,0.6107784431137725,-0.06777847484805832,-0.0599043510730074,0.0011602323072512633,0.06777847484805832,0.007874123775050923,0.0,0.06893870715530959
g0_R2_R6_to_R4,R4,R4,2,per_round_min,0.8101310379020692,0.7673095162085705,0.7653475860856576,0.7648923475305145,0.7726064291518793,0.764412737395878,0.7061154344131432,0.562015503875969,0.7749595250944414,-0.00241716867805597,-0.0452386903715547,-0.0004552385551430671,0.0452386903715547,0.0,0.04282152169349873,0.044783451816411635
g0_R2_R6_to_R5,R5,R5,2,per_round_min,0.6266165540784692,0.5391382986628861,0.5647927974486946,0.5669762832112143,0.5744925260167045,0.5753842159355143,0.45872035401401784,0.005509641873278237,0.612885462555066,0.0278379845483282,-0.059640270867254874,0.002183485762519699,0.059640270867254874,0.0,0.08747825541558307,0.06182375662977457
g0_R2_R6_to_R7,R7,R7,2,per_round_min,0.8365780285011718,0.7372920854705429,0.8680224090026375,0.867490403795841,0.863849108737113,0.8603439359840162,0.8343630047448013,0.7478991596638656,0.8690416457601605,0.13019831832529805,0.03091237529466917,-0.0005320052067965264,0.0005320052067965264,0.031444380501465696,0.13073032353209457,0.0
g0_R2_R7_to_R3,R3,R3,2,per_round_min,0.6447758029004468,0.6543226368260688,0.6323749647160728,0.6337180376251911,0.6276786386459082,0.6342127551442361,0.5424795523435738,0.06871609403254973,0.6690255851932498,-0.02060459920087776,-0.011057765275255704,0.0013430729091182814,0.02060459920087776,0.009546833925622056,0.0,0.02194767210999604
